Los Angeles,Chicago,Vancouver,Philadelphia,New York,Crime Los Angeles,Crime Chicago,Crime NYC,Crime Philadelphia,Crime Vancouver
282.67692338709696,267.8620208333329,279.1068923350904,269.89031787634366,268.97040478344235,17981,20656,34533,13634,2678
284.73821205357126,262.71214732142835,280.713602139308,266.5952336309524,265.91184722377665,15930,16287,31540,12266,2328
287.614922715054,272.9862553763441,280.8553105141974,274.41545564516133,274.16874921917224,17907,21560,38023,14367,2440
286.67828368055564,280.3278322916669,281.15168338694,284.93745034722224,283.32834393197334,16869,21610,39846,16766,2515
287.6919220430109,285.51564112903276,287.2576688591669,293.0406075268819,291.8823980618152,17839,23570,42321,17067,2839
294.1453204632514,289.4001394079374,291.00276388888926,295.1785582750972,293.4969430555557,17423,23059,41662,16429,2859
296.0448070113682,295.2528524299383,293.4028225806453,297.0137555840484,297.3968548387098,18553,24101,44379,17227,3224
297.99175904125383,294.71192201149756,292.1178494623656,296.3209377962288,297.1931989247312,18877,24685,45096,17388,2937
297.7311733896863,293.2964313986931,287.1354192584529,294.1884085061852,294.7377287532541,18152,22996,41942,15358,2876
294.9329196138669,285.7808578024394,285.1841205979531,285.44813837652555,285.80368912048283,19065,22979,41250,15188,3216
288.40362566748047,280.4927955504709,277.3960145328691,283.161068798586,283.2636729550389,17240,20486,38995,13875,3268
285.06868008838995,277.4460366974658,277.0786078649004,282.1599784255496,281.8089299104995,18074,21006,38991,13735,3148
