Los Angeles,Chicago,Vancouver,Philadelphia,New York,Temp Diff (NY-PHI),Crime Los Angeles,Crime Chicago,Crime New York,Crime Philadelphia,Crime Vancouver
49.14846209677457,22.481637499999273,42.72240620316272,26.132572177418627,24.476728610196268,-0.9199130929018826,17981,20656,34533,13634,2678
52.85878169642831,13.211865178571067,45.61448385075448,20.201420535714373,18.971325002798004,-0.6833864071755943,15930,16287,31540,12266,2328
58.036860887097205,31.705259677419427,45.86955892555538,34.277820161290435,33.83374859451008,-0.2467064259892455,17907,21560,38023,14367,2440
56.35091062500019,44.92009812500042,46.40303009649208,53.21741062500007,50.321019077552045,-1.6091064152486143,16869,21610,39846,16766,2515
58.175459677419646,54.25815403225901,57.39380394650051,67.80309354838747,65.71831651126739,-1.1582094650658585,17839,23570,42321,17067,2839
69.79157683385253,61.25025093428734,64.13497500000071,71.651404895175,68.62449750000026,-1.6816152195416654,17423,23059,41662,16429,2859
73.21065262046284,71.78513437388895,68.45508064516159,74.95476005128715,75.64433870967773,0.38309925466129147,18553,24101,44379,17227,3224
76.71516627425693,70.81145962069566,66.14212903225811,73.7076880332119,75.27775806451616,0.8722611285026879,18877,24685,45096,17388,2937
76.24611210143541,68.26357651764758,57.173754665215235,69.86913531113345,70.8579117558574,0.5493202470694434,18152,22996,41942,15358,2876
71.20925530496044,54.735544044390984,53.661417076315615,54.13664907774603,54.776640416869135,0.3555507439569897,19065,22979,41250,15188,3216
59.45652620146488,45.217031990847616,39.64282615916445,50.01992383745479,50.20461131907003,0.10260415645277826,17240,20486,38995,13875,3268
53.453624159101956,39.73286605543846,39.07149415682075,48.21796116598929,47.58607383889914,-0.35104851504973233,18074,21006,38991,13735,3148
